,CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Mean,CountOutput_Min,CountPath_Min,MaxNesting_Mean,MaxNesting_Min,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_LINE
780,43.0,0.0,2.0,7.0,73.0,1.0,498.0,6.0,17.0,14.0,8.3,2.0,97.0,3.0,51.0,64.0,2.0,4.69918699186992,9.0,17.4,0.0,1.0,1.12252964426877,0.0,0.87823275862069,2.0,3.0,19.0
782,14.0,0.0,1.0,5.0,197.0,0.0,156.0,14.0,1.0,0.0,0.1,0.0,99.0,4.0,41.0,65.0,2.0,3.46478873239437,1.0,4.72769953051643,1.0,1.0,0.442982456140351,0.0,0.614654002713704,0.0,4.0,14.0
788,32.0,5.0,1.0,10.0,9.0,1.0,654.0,14.0,23.0,36.0,0.26,0.0,71.0,4.0,39.0,76.0,2.0,7.16666666666667,0.0,4.2953216374269,1.0,1.0,0.633053221288515,0.0,0.737628384687208,0.0,5.0,15.0
793,10.0,1.0,1.0,6.0,29.0,2.0,270.0,8.0,9.0,0.0,7.4,0.0,100.0,3.0,38.0,31.0,2.0,8.43564356435644,0.0,3.58415841584158,1.0,1.0,0.381818181818182,0.0,0.8,0.0,5.0,10.0
806,156.0,16.0,2.0,71.0,57.0,0.0,469.0,9.0,3.0,18.0,4.2,0.0,100.0,3.0,58.0,54.0,2.0,5.80628272251309,0.0,6.14485165794066,1.0,52.0,0.835334476843911,0.0,0.478550295857988,4.0,2.0,20.0
816,9.0,0.0,1.0,19.0,19.0,0.0,103.0,5.0,2.0,2.0,1.9,1.0,95.0,3.0,28.0,26.0,2.0,3.33707865168539,0.0,5.86516853932584,1.0,1.0,0.568421052631579,0.0,0.66403162055336,0.0,7.0,10.0
905,9.0,0.0,4.0,7.0,2.0,1.0,264.0,15.0,32.0,23.0,0.2,1.0,100.0,2.0,6.0,43.0,1.0,4.41176470588235,0.0,0.4,0.0,0.0,1.08910891089109,0.0,0.41839762611276,0.0,4.0,14.0
956,27.0,0.0,2.0,5.0,6.0,2.0,297.0,3.0,0.0,13.0,0.27,1.0,89.0,2.0,0.0,18.0,3.0,3.93333333333333,0.0,0.7,0.0,1.0,1.24468085106383,0.0,1.0,0.0,3.0,5.0
988,37.0,4.0,2.0,12.0,47.0,1.0,168.0,15.0,0.0,54.0,10.4,0.0,100.0,6.0,50.0,19.0,2.0,4.51960784313725,0.0,4.83333333333333,0.0,0.0,1.02542372881356,0.0,0.66798418972332,0.0,3.0,6.0
1016,1.0,0.0,1.0,3.0,2.0,3.0,471.0,1.0,0.0,3.0,0.24,1.0,52.0,1.0,11.0,32.0,7.0,4.47572815533981,0.0,9.68932038834951,0.0,1.0,0.123809523809524,0.0,0.337278106508876,0.0,1.0,3.0
